user_id,course_id,activity_type,time_spent_min,rating,completion_status,topic,difficulty_level
103,Lang404,quiz,34,5,completed,Math,Advanced
436,Lang404,video,44,5,completed,Languages,Advanced
349,Lang404,quiz,47,4,completed,Math,Intermediate
271,Sci303,exercise,17,3,completed,Math,Beginner
107,Lang404,article,14,4,completed,Languages,Intermediate
72,Prog202,video,25,4,incomplete,Languages,Beginner
189,Lang404,exercise,48,1,completed,Science,Advanced
21,Math101,video,27,2,completed,Science,Advanced
103,Lang404,video,8,1,incomplete,Math,Intermediate
122,Sci303,exercise,56,2,completed,Science,Advanced
467,Math101,quiz,17,4,completed,Programming,Advanced
215,Math101,exercise,5,2,completed,Programming,Advanced
331,Math101,exercise,12,3,completed,Math,Beginner
459,Sci303,quiz,38,3,completed,Science,Beginner
88,Prog202,article,18,4,completed,Math,Intermediate
373,Lang404,exercise,26,5,completed,Science,Beginner
100,Math101,video,31,3,completed,Languages,Advanced
360,Math101,exercise,37,4,incomplete,Languages,Advanced
152,Math101,exercise,6,1,incomplete,Languages,Advanced
131,Prog202,video,41,5,completed,Languages,Intermediate
150,Prog202,quiz,15,3,completed,Math,Advanced
309,Sci303,article,42,4,completed,Math,Advanced
258,Prog202,article,49,4,completed,Math,Intermediate
344,Lang404,video,26,1,completed,Programming,Beginner
492,Sci303,quiz,51,1,completed,Languages,Beginner
414,Sci303,exercise,12,5,completed,Languages,Beginner
294,Lang404,exercise,41,3,incomplete,Languages,Intermediate
386,Lang404,exercise,47,4,completed,Science,Intermediate
192,Lang404,exercise,14,5,incomplete,Science,Advanced
444,Sci303,exercise,1,5,incomplete,Programming,Advanced
277,Sci303,video,17,1,completed,Programming,Intermediate
161,Sci303,exercise,33,4,completed,Science,Intermediate
460,Lang404,exercise,55,2,completed,Science,Advanced
314,Lang404,quiz,29,1,completed,Math,Advanced
22,Math101,exercise,53,4,completed,Math,Advanced
253,Prog202,article,54,5,completed,Science,Beginner
236,Math101,video,45,5,completed,Languages,Beginner
345,Lang404,video,31,3,completed,Science,Advanced
49,Sci303,video,8,2,incomplete,Math,Intermediate
475,Lang404,article,30,1,completed,Programming,Beginner
59,Prog202,exercise,13,3,completed,Science,Advanced
170,Math101,video,16,3,completed,Science,Beginner
476,Math101,article,2,2,incomplete,Languages,Intermediate
188,Sci303,quiz,45,1,completed,Programming,Intermediate
464,Math101,exercise,18,1,incomplete,Languages,Intermediate
271,Math101,article,35,5,incomplete,Programming,Advanced
190,Lang404,exercise,45,1,incomplete,Languages,Advanced
446,Math101,quiz,19,3,completed,Programming,Beginner
175,Math101,article,13,5,completed,Science,Advanced
446,Math101,exercise,51,1,completed,Science,Advanced
51,Sci303,article,4,2,completed,Science,Advanced
364,Sci303,video,19,3,completed,Math,Beginner
55,Lang404,exercise,50,4,completed,Programming,Advanced
244,Math101,article,25,2,completed,Programming,Intermediate
320,Sci303,video,38,2,completed,Languages,Advanced
131,Sci303,quiz,51,1,completed,Math,Advanced
485,Lang404,exercise,57,5,completed,Languages,Intermediate
307,Prog202,exercise,31,5,incomplete,Math,Beginner
135,Math101,quiz,36,3,completed,Languages,Advanced
21,Sci303,video,4,1,completed,Math,Advanced
329,Lang404,quiz,56,5,completed,Languages,Advanced
167,Lang404,exercise,39,4,incomplete,Languages,Advanced
274,Lang404,article,7,1,incomplete,Math,Intermediate
388,Sci303,video,58,1,completed,Programming,Advanced
89,Math101,video,55,5,completed,Languages,Beginner
316,Prog202,video,58,2,completed,Math,Intermediate
14,Math101,quiz,16,1,completed,Math,Intermediate
242,Lang404,quiz,59,2,incomplete,Programming,Beginner
265,Lang404,article,48,3,completed,Programming,Advanced
346,Prog202,article,5,3,completed,Programming,Advanced
53,Math101,video,47,5,completed,Programming,Advanced
386,Lang404,article,23,3,incomplete,Languages,Beginner
340,Lang404,quiz,36,5,completed,Languages,Intermediate
92,Math101,article,32,5,incomplete,Science,Advanced
367,Lang404,quiz,24,2,completed,Languages,Beginner
444,Math101,article,25,2,completed,Science,Beginner
455,Lang404,exercise,45,3,completed,Science,Advanced
428,Math101,quiz,28,2,completed,Languages,Beginner
264,Prog202,exercise,19,1,incomplete,Science,Advanced
431,Lang404,quiz,7,4,incomplete,Programming,Advanced
35,Prog202,article,44,1,completed,Science,Advanced
206,Lang404,exercise,58,1,completed,Languages,Intermediate
81,Lang404,article,41,5,completed,Math,Beginner
420,Sci303,quiz,17,4,completed,Languages,Intermediate
50,Math101,exercise,2,5,completed,Math,Advanced
360,Prog202,video,16,2,completed,Math,Beginner
388,Prog202,article,39,2,incomplete,Science,Advanced
2,Prog202,quiz,18,4,incomplete,Science,Beginner
390,Math101,exercise,39,3,completed,Math,Advanced
54,Sci303,article,1,2,incomplete,Science,Beginner
106,Prog202,exercise,3,1,completed,Programming,Advanced
260,Math101,article,21,4,completed,Languages,Advanced
310,Lang404,article,30,4,completed,Science,Intermediate
477,Prog202,article,11,2,completed,Math,Intermediate
191,Prog202,exercise,22,2,incomplete,Math,Beginner
402,Sci303,exercise,47,5,incomplete,Languages,Beginner
218,Prog202,article,57,5,completed,Science,Intermediate
44,Prog202,video,25,1,completed,Science,Advanced
162,Lang404,video,3,4,completed,Math,Advanced
202,Math101,video,30,3,completed,Languages,Beginner
